Job Number,Title,Company,Location,URL
1,Software Engineer - Labs,Upside Business Travel ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=431449&s=149&guid=000001690e3adec69e8a835d84f56421&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_dfdabed7&cb=1550721933601&jobListingId=3098586615
2,Software Engineer,KeyW ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=248315&s=149&guid=000001690e3adec69e8a835d84f56421&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_69c036e0&cb=1550721933602&jobListingId=3113422715
3,Software Engineer - Pivotal Labs,Pivotal Software ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=457744&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_709fa712&cb=1550721933603&jobListingId=3047749014
4,Software Engineer,Optoro ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=331289&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_adf2c75b&cb=1550721933605&jobListingId=2949103430
5,Software Engineer,Asymmetrik ," Annapolis Junction, MD",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=357471&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_db1057b3&cb=1550721933605&jobListingId=2565478177
6,Software Engineer,Reinventing Geospatial Inc. ," Fairfax, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=415709&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e549de13&cb=1550721933607&jobListingId=3097447599
7,Software Engineer,Ntrepid ," Herndon, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=445071&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_306e9903&cb=1550721933607&jobListingId=3102170020
8,Entry Level Software Developer,EAI Technologies ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=451669&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2efe4b6a&cb=1550721933608&jobListingId=3061640798
9,Software Engineer Intern,Ntrepid ," Herndon, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=445071&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0f6a2e1f&cb=1550721933609&jobListingId=3102170021
10,Software Engineer,Yext ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=448900&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_cc6cea85&cb=1550721933610&jobListingId=3100598932
11,Software Engineer,LookingGlass Cyber Solutions ," Reston, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=345749&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_57127f94&cb=1550721933611&jobListingId=2860942247
12,Junior Software Engineer,Optoro ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=331289&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b7b0f1a9&cb=1550721933612&jobListingId=2949103427
13,Software Engineer,GetUpside ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=480289&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_0a9793e3&cb=1550721933613&jobListingId=3108331292
14,Software Engineer,Integrity Applications ," Chantilly, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=315863&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c54cda51&cb=1550721933617&jobListingId=3065506837
15,Junior Software Engineer,Next Century ," Annapolis Junction, MD",https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=396416&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e889569f&cb=1550721933619&jobListingId=3114499525
16,Full Stack Engineer,Upside Business Travel ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=431449&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ba9476ab&cb=1550721933620&jobListingId=3059776761
17,"Software Engineer, New Grad",Palantir Technologies ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=85944&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e389911d&cb=1550721933621&jobListingId=2875942752
18,Software Engineer,LGS Innovations ," Herndon, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=191920&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1c6f647e&cb=1550721933622&jobListingId=2820816849
19,Software Engineer,The Evolvers Group ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=83255&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d739836a&cb=1550721933624&jobListingId=3123863549
20,"Vice President, Engineering",Upside Business Travel ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=482215&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d27af634&cb=1550721933625&jobListingId=3111121091
21,Full Stack Engineer,The Washington Post ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=192731&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_46f99544&cb=1550721933626&jobListingId=3101418041
22,Software Engineer,FREEDOM CONSULTING GROUP ," Annapolis Junction, MD",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=434560&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4ae0aca7&cb=1550721933627&jobListingId=3098806689
23,Entry level Software Engineer,Dhatronictech ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=389273&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1f75035f&cb=1550721933629&jobListingId=3116567708
24,Software Consultant,Counterpoint Consulting ," Vienna, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=469381&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f650298f&cb=1550721933630&jobListingId=3090875826
25,Deep Learning Engineer,NVIDIA ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=149457&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3560566c&cb=1550721933631&jobListingId=2908080811
26,Software Engineer,Decisive Analytics ," Arlington, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=458589&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4f7dc8de&cb=1550721933632&jobListingId=3099188596
27,Entry Level Software Engineer,"Ideation, Inc. "," Reston, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=83255&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_458f2832&cb=1550721933634&jobListingId=3115553831
28,Back End Engineer - Java Focused,The Washington Post ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=192731&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5857666c&cb=1550721933635&jobListingId=3087902455
29,Software Engineering Intern - Summer 2019,Optoro ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=331422&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_32bee671&cb=1550721933636&jobListingId=2985184023
30,Java Software Engineer,Sila Solutions Group ," Arlington, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=354137&s=58&guid=000001690e3adec690b86183e7155b10&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f8a9556b&cb=1550721933637&jobListingId=2857916392
31,Software Engineer - Pivotal Labs,Pivotal Software ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=457744&s=149&guid=000001690e3b00cc8e4e9748041bdfb1&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3ece8d4e&cb=1550721942276&jobListingId=3047749014
32,Software Engineer Intern,Ntrepid ," Herndon, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=445071&s=149&guid=000001690e3b00cc8e4e9748041bdfb1&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_59e9bf1f&cb=1550721942278&jobListingId=3102170021
33,Software Engineer,FullStack Labs ," Arlington, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=14295&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_60189ff1&cb=1550721942279&jobListingId=2844285492
34,"Software Engineer, Product (Full Stack)",Facebook ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=132920&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bcbc3b74&cb=1550721942280&jobListingId=2992174046
35,Engineering Coordinator,Upside Business Travel ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=482215&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_971806a5&cb=1550721942281&jobListingId=3081712572
36,Software Developer - Intern/Co-Op,Reinventing Geospatial Inc. ," Fairfax, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=415709&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_769a5ab3&cb=1550721942282&jobListingId=2827869806
37,Jr. Full Stack Software Engineer,The Washington Post ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=192731&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_70a1062c&cb=1550721942283&jobListingId=3102499632
38,Test Automation Engineer,xScion Solutions ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=459860&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_32c92e78&cb=1550721942284&jobListingId=3096253541
39,Software Developer,Data Works ," Reston, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=4120&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_430b5711&cb=1550721942285&jobListingId=2514051259
40,Software Engineer,Palantir Technologies ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=85944&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_fb078beb&cb=1550721942286&jobListingId=2875942749
41,Software Engineer,Microsoft ," Reston, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=37049&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0778f29f&cb=1550721942287&jobListingId=3030976240
42,Software Engineer,Johns Hopkins University Applied Physics Laboratory ," Laurel, MD",https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=358628&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_872c8c6b&cb=1550721942288&jobListingId=2984812297
43,Junior Level Software Engineer (JavaScript/Angular),ProObject ," Gaithersburg, MD",https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=440951&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a6eccbdb&cb=1550721942288&jobListingId=3102545729
44,Software Engineer I,LGS Innovations ," Herndon, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=191920&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c5f5d232&cb=1550721942290&jobListingId=2948629823
45,Software Engineer,3clogic ," Rockville, MD",https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=4120&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c25cb832&cb=1550721942291&jobListingId=2922862251
46,Software Engineer,Arcadia Power ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=14295&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_230abae2&cb=1550721942292&jobListingId=2918745257
47,Software Engineer,Fundrise ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=4341&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_f2c76004&cb=1550721942294&jobListingId=2261922384
48,"Software Engineer (DC, SF, NYC)",Nava ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=148364&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_03698764&cb=1550721942295&jobListingId=2944861896
49,Data Scientist/Software Engineer,Systems & Technology Research ," Arlington, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=424097&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1ef68457&cb=1550721942296&jobListingId=2981923018
50,Front-End Software Engineer,Next Century ," Reston, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=396417&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e0f8991c&cb=1550721942297&jobListingId=3094774776
51,Senior Software Engineer (Back End),Endgame ," Arlington, VA",https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=414386&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c7548bec&cb=1550721942299&jobListingId=2864935992
52,Customer Data Scientist/Sales Engineer,h2o.ai ," Washington, DC",https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=448042&s=58&guid=000001690e3b00cc9c686f536d52fd82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&aa=1&ea=1&cs=1_411cbb20&cb=1550721942300&jobListingId=3049662362
